SITE_ID,COUNTS
9015121,218
9015376,218
9016588,218
9017732,218
9019349,218
135638,217
7971,217
10007696,216
131759,216
22609,216
401279,216
480210,216
8280,216
9015277,216
9015325,216
9019182,216
9019214,216
9019311,216
9019860,216
9020332,216
10003196,215
198048,215
400939,215
51077,215
15707,214
201431,214
205614,214
9004475,214
9017801,214
9019216,214
9019407,214
9026280,214
9027923,214
101162,213
204600,213
12818,212
3332,212
36759,212
9015291,212
9016642,212
9017435,212
9018478,212
9018590,212
9018786,212
9018811,212
9018949,212
9019180,212
35972,211
50944,211
133493,210
9002505,210
9010885,210
9017649,210
9018817,210
9019321,210
9019701,210
250226,209
401218,209
51091,209
202330,208
20522,208
206105,208
402013,208
51787,208
9011240,208
9018642,208
9018663,208
9018727,208
9019762,208
9019789,208
9020552,208
9022907,208
9023869,208
12618,207
14234,207
9003104,207
101698,206
13292,206
206106,206
22142,206
27403,206
400872,206
54152,206
602139,206
9010314,206
9010911,206
9011216,206
9017733,206
131324,205
202000,205
55315,205
18980,204
21872,204
23378,204
401100,204
51063,204
55242,204
9007518,204
9017455,204
9017607,204
9017642,204
9017651,204
9017996,204
9018140,204
9018660,204
9018816,204
9018828,204
9018939,204
9019811,204
9019844,204
9021515,204
9021695,204
22031,202
400893,202
51069,202
55346,202
601147,202
601594,202
9017659,202
9018138,202
9021614,202
9023021,202
9023048,202
132309,201
17093,201
200680,201
9026830,201
133859,200
205136,200
3397,200
400881,200
601288,200
9010682,200
9016188,200
9017417,200
9017663,200
9017737,200
9018011,200
9018105,200
9018481,200
9018591,200
9018865,200
9019254,200
131932,199
204612,198
41428,198
54395,198
9017431,198
9017684,198
9018013,198
9018473,198
9019178,198
9019320,198
9021087,198
9022141,198
9022847,198
9022919,198
9026274,198
132308,197
130591,196
130823,196
16490,196
201832,196
50718,196
51797,196
54422,196
9017436,196
9017658,196
9017945,196
9018259,196
9018317,196
9018495,196
9018938,196
9019317,196
9020142,196
9021792,196
9028257,196
12088,195
132306,195
23650,195
28026,195
500732,195
9000871,195
22603,194
26601,194
301296,194
402001,194
4728,194
600991,194
7003,194
9011949,194
9017280,194
9018201,194
9019135,194
9019259,194
9019651,194
9021321,194
9022150,194
10012697,193
11613,193
9000972,193
130972,192
133460,192
200540,192
305484,192
9000872,192
9000991,192
9011683,192
9015338,192
9017440,192
9017814,192
9018614,192
9018805,192
9019083,192
9019293,192
9020812,192
9026859,192
9028177,192
100985,191
205758,191
9010013,191
101198,190
132486,190
14645,190
304221,190
401313,190
402310,190
502237,190
9000653,190
9017641,190
9018010,190
9018766,190
9018959,190
9019669,190
9020952,190
9027050,190
132307,189
305704,189
401052,189
10008525,188
205973,188
51095,188
9000352,188
9017512,188
9017686,188
9018636,188
9019472,188
9021224,188
9022145,188
402006,187
53618,187
6172,187
9007691,187
10009877,186
100306,186
12992,186
130191,186
131145,186
13284,186
305199,186
402801,186
602755,186
9015270,186
9017685,186
9018807,186
9020193,186
9021052,186
26955,185
51716,185
602508,185
9002445,185
10003260,184
132976,184
206048,184
27052,184
401674,184
401763,184
41010,184
9007481,184
9010554,184
9014198,184
9017150,184
9017430,184
9017952,184
9018345,184
9018412,184
9019310,184
9021014,184
9023214,184
134449,183
19521,183
9017856,183
10007304,182
101811,182
16049,182
250338,182
26222,182
26495,182
401252,182
50802,182
9001899,182
9007355,182
9017514,182
9017736,182
9018113,182
9018826,182
9019316,182
9019585,182
9022148,182
9022752,182
9023629,182
9023775,182
9562,182
4494,181
500814,181
9001190,181
9017656,181
9018070,181
10000619,180
28149,180
304527,180
501918,180
50923,180
51789,180
9008176,180
9018790,180
9019253,180
9019356,180
9019790,180
9019879,180
9021514,180
9022910,180
13614,179
23319,179
34885,179
402041,179
402474,179
5278,179
100855,178
101454,178
101538,178
11608,178
12930,178
130827,178
132338,178
39608,178
401731,178
53563,178
9007627,178
9015271,178
9017932,178
9018153,178
9018829,178
9019616,178
9019702,178
9020951,178
9022917,178
9024186,178
201242,177
500971,177
9382,177
101151,176
131727,176
133134,176
17121,176
201238,176
300844,176
32802,176
4496,176
502061,176
8193,176
9001424,176
9018360,176
9018947,176
9018994,176
9019184,176
9020324,176
9022501,176
9023268,176
9026860,176
9453,176
101791,175
13901,175
25937,175
27006,175
305499,175
6292,175
9001326,175
9001328,175
9018472,175
153073,174
201230,174
301268,174
38531,174
400455,174
50591,174
50743,174
51048,174
9008758,174
9010308,174
9017949,174
9017977,174
9018192,174
9018250,174
9019206,174
9022151,174
9023317,174
9026745,174
9155,174
9162,174
24024,173
10000245,172
10006163,172
10006731,172
10008800,172
101975,172
101998,172
201174,172
401985,172
502017,172
502121,172
51839,172
9007453,172
9017442,172
9017639,172
9018261,172
9018316,172
9018836,172
9019102,172
9019463,172
9020814,172
9020867,172
9021105,172
9022655,172
9026777,172
9026973,172
301075,171
34655,171
460471,171
9000687,171
10003198,170
13502,170
34203,170
402408,170
405037,170
501074,170
502468,170
53658,170
602120,170
9017438,170
9017653,170
9017978,170
9018073,170
9019227,170
9019483,170
9019675,170
9020101,170
134285,169
13794,169
201277,169
204093,169
21215,169
301662,169
304286,169
53746,169
53794,169
9019207,169
10000876,168
10001958,168
100989,168
101434,168
101768,168
132651,168
13738,168
18419,168
201428,168
205582,168
22138,168
22698,168
280248,168
37165,168
38341,168
400394,168
401099,168
501426,168
54398,168
55302,168
55611,168
601120,168
9018198,168
9019249,168
9020804,168
9020813,168
9023043,168
9024825,168
9026587,168
10355,167
130131,167
131819,167
201257,167
302515,167
401656,167
48736,167
500865,167
54211,167
10010880,166
10792,166
130102,166
131087,166
18648,166
205487,166
206097,166
300942,166
301002,166
400585,166
401245,166
402735,166
404360,166
53269,166
55301,166
9003030,166
9012574,166
9015327,166
9015335,166
9015337,166
9017151,166
9017738,166
9017915,166
9018106,166
9020333,166
9020499,166
198332,165
200889,165
201063,165
202008,165
303498,165
38835,165
402160,165
403618,165
8783,165
9018730,165
100183,164
101255,164
12211,164
13024,164
130852,164
13168,164
13743,164
15780,164
202775,164
206076,164
26274,164
28314,164
32798,164
401906,164
403428,164
46176,164
54798,164
601179,164
9004157,164
9004199,164
9004378,164
9007473,164
9017278,164
9018277,164
9018429,164
9018480,164
9019759,164
9019809,164
9020418,164
101393,163
130018,163
301052,163
301251,163
402090,163
4178,163
8269,163
10000105,162
10003580,162
10008430,162
10008721,162
131729,162
131888,162
13454,162
201132,162
201910,162
205246,162
26992,162
4355,162
53808,162
601099,162
6084,162
9009234,162
9012469,162
9017437,162
9017735,162
9018200,162
9022908,162
9022921,162
9023039,162
9362,162
130082,161
20647,161
23452,161
306044,161
370261,161
37733,161
400838,161
55601,161
9000904,161
9009653,161
10005589,160
100648,160
130593,160
153269,160
198336,160
26624,160
301385,160
306008,160
36235,160
401965,160
461342,160
5379,160
601180,160
9001021,160
9008163,160
9015088,160
9017671,160
9018613,160
9018956,160
9019123,160
9020327,160
9022029,160
9022598,160
9026301,160
13965,159
200552,159
201930,159
202325,159
27031,159
301190,159
301252,159
302388,159
42211,159
50625,159
50983,159
10058,158
101699,158
102209,158
135379,158
204629,158
205133,158
23019,158
302509,158
304790,158
38307,158
38535,158
401442,158
53810,158
55415,158
9008358,158
9010680,158
9013009,158
9015334,158
9016281,158
9017439,158
9017449,158
9017940,158
9018634,158
9018960,158
9018963,158
9020140,158
9020759,158
9026272,158
9026273,158
9028201,158
12664,157
131021,157
135466,157
300952,157
301514,157
51001,157
55312,157
55600,157
9017418,157
100978,156
101160,156
101930,156
101956,156
12744,156
130821,156
198257,156
205544,156
21955,156
26576,156
26646,156
303079,156
303493,156
36744,156
402962,156
4169,156
502178,156
50769,156
54419,156
9017637,156
9018015,156
9018315,156
9018471,156
9018619,156
9018729,156
9018995,156
9019719,156
9019820,156
9020938,156
9022599,156
9022920,156
9022930,156
9565,156
9819,156
101219,155
12316,155
133299,155
206025,155
303435,155
500973,155
50368,155
5840,155
9000616,155
9001325,155
9002291,155
9003679,155
10000839,154
1009,154
101367,154
131097,154
133408,154
134677,154
15937,154
201378,154
202550,154
22156,154
250682,154
27117,154
301469,154
3739,154
401921,154
401980,154
501845,154
51041,154
54104,154
570478,154
9003488,154
9011312,154
9011575,154
9014432,154
9017443,154
9017660,154
9017665,154
9017901,154
9018618,154
9018725,154
9018745,154
9019171,154
9019465,154
9021790,154
9021793,154
9021794,154
9022271,154
9026749,154
9183,154
130981,153
205139,153
22170,153
301340,153
303331,153
305692,153
3532,153
36712,153
50561,153
50921,153
50951,153
9020069,153
9778,153
9899,153
10000519,152
10004341,152
100231,152
101109,152
101938,152
12625,152
132455,152
198043,152
198359,152
24650,152
280225,152
304323,152
35116,152
3722,152
4085,152
4934,152
501075,152
53735,152
601170,152
601172,152
601237,152
6337,152
9002657,152
9009795,152
9010521,152
9012642,152
9013451,152
9013544,152
9017810,152
9017972,152
9018188,152
9018264,152
9018825,152
9019124,152
9019181,152
9019403,152
9020223,152
9020807,152
9020809,152
9020839,152
9020944,152
9021049,152
9021147,152
9022916,152
9023429,152
100790,151
12179,151
13970,151
201085,151
201206,151
205738,151
301042,151
301873,151
302211,151
302871,151
305457,151
50562,151
50762,151
50902,151
50928,151
570468,151
8535,151
9001906,151
9008300,151
9012397,151
10006838,150
10007188,150
101409,150
10725,150
12540,150
130379,150
131686,150
13462,150
135428,150
135652,150
135920,150
203686,150
306035,150
36779,150
401650,150
402318,150
4950,150
50722,150
50803,150
51852,150
601411,150
7954,150
8325,150
9007755,150
9010834,150
9015697,150
9016294,150
9017421,150
9017923,150
9018437,150
9018812,150
9018890,150
9019084,150
9019471,150
9019855,150
9020328,150
9020847,150
9021222,150
9022065,150
9023911,150
10000253,149
130595,149
402714,149
41222,149
49120,149
50606,149
50994,149
51709,149
6095,149
9000664,149
9740,149
10005485,148
10005824,148
130336,148
202690,148
204189,148
205058,148
205305,148
206080,148
26398,148
300760,148
301935,148
301969,148
304696,148
33335,148
36669,148
501334,148
51051,148
54224,148
602126,148
9001375,148
9002735,148
9009503,148
9013565,148
9017510,148
9017606,148
9017662,148
9017953,148
9018170,148
9018318,148
9018319,148
9018931,148
9019312,148
9020865,148
9021185,148
9021615,148
9022050,148
9022654,148
9261,148
133542,147
16046,147
198305,147
301329,147
302017,147
401631,147
402009,147
51045,147
570437,147
9022834,147
10004818,146
10006876,146
101695,146
16421,146
198321,146
198391,146
204959,146
303898,146
38682,146
401305,146
401369,146
441096,146
502238,146
50563,146
50755,146
51098,146
9004379,146
9007559,146
9007647,146
9008168,146
9013297,146
9018114,146
9018173,146
9018434,146
9018608,146
9018720,146
9019562,146
9022146,146
9022936,146
9026103,146
9028462,146
202359,145
202541,145
301670,145
301931,145
303896,145
400885,145
4743,145
501558,145
570444,145
9011478,145
10005970,144
10014001,144
10018901,144
100385,144
101243,144
101260,144
130220,144
133766,144
205618,144
26047,144
301282,144
303518,144
400974,144
401376,144
401753,144
401854,144
50506,144
601091,144
602948,144
7728,144
9000788,144
9009886,144
9014518,144
9014891,144
9015735,144
9017181,144
9018615,144
9018666,144
9018884,144
9018922,144
9019105,144
9019125,144
9019670,144
9020476,144
9020617,144
9020803,144
9020810,144
9021935,144
9022985,144
9023459,144
9023777,144
9026214,144
9026703,144
9026743,144
9027171,144
9027348,144
101763,143
201292,143
202848,143
204291,143
204433,143
401968,143
40852,143
5218,143
53795,143
570417,143
9001366,143
9018280,143
9018923,143
9027688,143
10008613,142
101091,142
130227,142
130429,142
